,date,event,myScore,opponent,place,player,result,theirScore,winnings
455,2011-07-31,2011 MLG Pro Circuit Anaheim,1.0,Mvp,2nd,MMA,0.0,2.0,3000.0
456,2011-06-18,LG Cinema 3D Super Tournament,0.0,Polt,2nd,MMA,0.0,4.0,27900.0
457,2011-06-05,2011 MLG Pro Circuit Columbus,4.0,LosirA,1st,MMA,1.0,1.0,5000.0
458,2014-04-27,2014 DreamHack Open: Bucharest,0.0,Life,2nd,Impact,0.0,3.0,5000.0
459,2018-02-07,IEM Season XII - PyeongChang,4.0,sOs,1st,Scarlett,1.0,1.0,50000.0
460,2016-06-26,HomeStory Cup XIII,2.0,Harstem,2nd,Scarlett,0.0,4.0,4000.0
461,2014-06-22,2014 MLG Anaheim,1.0,Trap,4th,Scarlett,0.0,2.0,3500.0
462,2014-06-08,HomeStory Cup IX,1.0,TaeJa,3 - 4th,Scarlett,0.0,3.0,2500.0
463,2013-12-07,ASUS ROG NorthCon 2013,2.0,Jaedong,2nd,Scarlett,0.0,4.0,5000.0
464,2013-11-24,Red Bull Battle Grounds New York City,2.0,MC,3rd,Scarlett,1.0,0.0,6000.0
465,2013-08-11,2013 WCS Season 2 America/Premier,2.0,Jaedong,3 - 4th,Scarlett,0.0,3.0,7000.0
466,2013-10-13,IEM Season VIII - New York,2.0,Life,2nd,NaNiwa,0.0,4.0,4000.0
467,2013-06-30,2013 MLG Spring Championship,1.0,Polt,3 - 4th,NaNiwa,0.0,4.0,3000.0
468,2013-04-27,2013 DreamHack Open: Stockholm,2.0,Leenock,2nd,NaNiwa,0.0,3.0,5325.0
469,2011-11-20,2011 MLG Pro Circuit Championship Providence,1.0,Leenock,2nd,NaNiwa,0.0,4.0,25000.0
470,2011-10-22,BlizzCon 2011 StarCraft II Invitational,1.0,Sen,4th,NaNiwa,0.0,2.0,0.0
471,2011-05-15,PokerStrategy.com TSL3,3.0,ThorZaIN,2nd,NaNiwa,0.0,4.0,7000.0
472,2011-04-03,2011 MLG Pro Circuit Dallas,4.0,KiWiKaKi,1st,NaNiwa,1.0,2.0,5000.0
473,2014-07-19,2014 DreamHack Open: Valencia,0.0,MC,3 - 4th,Leenock,0.0,2.0,3000.0
474,2013-04-27,2013 DreamHack Open: Stockholm,3.0,NaNiwa,1st,Leenock,1.0,2.0,9128.0
475,2012-12-20,2012 GSL Blizzard Cup,1.0,Life,3 - 4th,Leenock,0.0,3.0,4653.0
476,2012-12-02,IGN ProLeague Season 5,4.0,viOLet,1st,Leenock,0.0,4.0,40000.0
477,2012-11-04,2012 MLG Fall Championship,3.0,Life,2nd,Leenock,0.0,4.0,15000.0
478,2012-08-26,2012 MLG Summer Championship,4.0,First,1st,Leenock,1.0,1.0,25000.0
479,2011-12-07,2011 Global StarCraft II League November: Code S,2.0,jjakji,2nd,Leenock,0.0,4.0,17820.0
480,2011-11-20,2011 MLG Pro Circuit Championship Providence,4.0,NaNiwa,1st,Leenock,1.0,1.0,50000.0
481,2011-08-22,2011 Global StarCraft II League August: Code A,1.0,MarineKing,3 - 4th,Leenock,0.0,3.0,740.0
482,2011-07-11,2011 Global StarCraft II League July: Code A,1.0,Tassadar,3 - 4th,Leenock,0.0,3.0,740.0
483,2011-03-09,2011 2nd Generation Intel® Core™ Global StarCraft II League March: Code A,0.0,LosirA,3 - 4th,Leenock,0.0,2.0,710.0
484,2013-06-09,2013 WCS Season 1,2.0,INnoVation,3 - 4th,Mvp,0.0,3.0,10000.0
485,2013-05-26,2013 WCS Season 1 Europe/Premier,4.0,Stephano,1st,Mvp,1.0,1.0,20000.0
486,2013-03-09,IEM Season VII - World Championship,2.0,YoDa,3 - 4th,Mvp,0.0,3.0,7500.0
487,2012-10-20,2012 Global StarCraft II League Season 4: Code S,3.0,Life,2nd,Mvp,0.0,4.0,18092.0
488,2012-08-19,IEM Season VII - Cologne,3.0,Nerchio,1st,Mvp,1.0,1.0,6500.0
489,2012-05-19,2012 Global StarCraft II League Season 2: Code S,4.0,Squirtle,1st,Mvp,1.0,3.0,42778.0
490,2011-12-15,2011 GSL Blizzard Cup,0.0,MMA,3 - 4th,Mvp,0.0,3.0,4300.0
491,2011-12-11,WCG 2011,2.0,XiGua,1st,Mvp,1.0,0.0,20000.0
492,2011-11-28,2011 Global StarCraft II League November: Code S,2.0,Leenock,3 - 4th,Mvp,0.0,3.0,4455.0
493,2011-11-20,2011 MLG Pro Circuit Championship Providence,0.0,Leenock,4th,Mvp,0.0,2.0,10500.0
494,2011-10-22,BlizzCon 2011 StarCraft II Invitational,2.0,NesTea,1st,Mvp,1.0,0.0,50000.0
495,2011-10-22,2011 Global StarCraft II League October: Code S,1.0,MMA,2nd,Mvp,0.0,4.0,17432.0
496,2011-09-10,2011 Global StarCraft II League August: Code S,4.0,TOP,1st,Mvp,1.0,1.0,46000.0
497,2011-07-31,2011 MLG Pro Circuit Anaheim,2.0,MMA,1st,Mvp,1.0,1.0,5000.0
498,2011-05-06,2011 LG Cinema 3D Global StarCraft II League May: Code A,2.0,Bomber,2nd,Mvp,0.0,4.0,920.0
499,2011-04-09,2011 LG Cinema 3D World Championship Seoul,4.0,MarineKing,1st,Mvp,1.0,2.0,26940.0
500,2011-01-29,2011 Sony Ericsson Global StarCraft II League January: Code S,4.0,MarineKing,1st,Mvp,1.0,0.0,44835.0
501,2012-11-18,2012 Battle.net World Championship,2.0,PartinG,2nd,Creator,0.0,4.0,40000.0
502,2012-09-08,TeamLiquid StarLeague 4,4.0,Life,1st,Creator,1.0,2.0,16000.0
503,2012-08-25,2012 StarCraft II WCS: South Korea Finals,4.0,Squirtle,1st,Creator,1.0,1.0,10570.0
504,2013-12-01,World Cyber Games 2013,1.0,Soulkey,2nd,Sora,0.0,3.0,15000.0
505,2015-07-05,HomeStory Cup XI,2.0,Rain,2nd,Sacsri,0.0,4.0,6500.0
506,2014-07-19,2014 DreamHack Open: Valencia,3.0,MC,1st,Sacsri,1.0,2.0,10000.0
507,2017-11-12,HomeStory Cup XVI,2.0,Solar,3 - 4th,Snute,0.0,3.0,2000.0
508,2017-09-10,2017 WCS Montreal,0.0,Neeb,2nd,Snute,0.0,4.0,10000.0
509,2017-07-15,2017 WCS Valencia,3.0,Elazer,2nd,Snute,0.0,4.0,10000.0
510,2016-09-11,WCS Copa Intercontinental,4.0,ShoWTimE,1st,Snute,1.0,2.0,18000.0
511,2016-07-16,2016 DreamHack Open: Valencia,0.0,MarineLorD,3 - 4th,Snute,0.0,3.0,5000.0
512,2016-06-26,HomeStory Cup XIII,0.0,Harstem,3 - 4th,Snute,0.0,3.0,2000.0
513,2016-05-08,2016 DreamHack Open: Austin,1.0,Neeb,3 - 4th,Snute,0.0,3.0,5000.0
514,2016-03-26,Gold Series International 2016,1.0,Harstem,2nd,Snute,0.0,4.0,8000.0
515,2016-03-05,2016 WCS Circuit: Winter Circuit Championship,2.0,Polt,2nd,Snute,0.0,4.0,15000.0
516,2015-12-20,HomeStory Cup XII,2.0,FireCake,3 - 4th,Snute,0.0,3.0,2500.0
517,2014-09-14,2014 DreamHack Open: Moscow,0.0,MMA,3 - 4th,Snute,0.0,2.0,3000.0
518,2014-09-07,World E-sport Championships 2014,1.0,Jaedong,2nd,Snute,0.0,4.0,12960.0
519,2013-06-23,HomeStory Cup VII,3.0,TaeJa,2nd,Snute,0.0,4.0,6500.0
520,2012-12-22,HomeStory Cup VI,4.0,Symbol,1st,Snute,1.0,0.0,10000.0
521,2014-09-06,World E-sport Championships 2014,1.0,Jaedong,3rd,HerO,0.0,2.0,8100.0
522,2014-06-16,2014 DreamHack Open: Summer,0.0,TaeJa,2nd,HerO,0.0,3.0,5000.0
523,2014-02-16,IEM Season VIII - Cologne,4.0,Polt,1st,HerO,1.0,2.0,10000.0
524,2013-07-28,IEM Season VIII - Shanghai,2.0,Oz,3 - 4th,HerO,0.0,3.0,2000.0
525,2013-06-30,2013 MLG Spring Championship,1.0,HyuN,3 - 4th,HerO,0.0,4.0,3000.0
526,2013-06-02,2013 WCS Season 1 America/Premier,4.0,Revival,1st,HerO,1.0,2.0,20000.0
527,2013-04-27,2013 DreamHack Open: Stockholm,1.0,Leenock,3 - 4th,HerO,0.0,2.0,3042.0
528,2012-12-09,North American Star League Season 4,4.0,viOLet,1st,HerO,1.0,2.0,30000.0
529,2012-11-24,DreamHack EIZO Open: Winter,4.0,TaeJa,1st,HerO,1.0,0.0,37726.0
530,2012-10-14,2012 StarCraft II WCS: Asian Finals,0.0,PartinG,3rd,HerO,0.0,2.0,3600.0
531,2012-05-10,2012 Global StarCraft II League Season 2: Code S,0.0,Squirtle,3 - 4th,HerO,0.0,3.0,4277.0
532,2011-12-04,North American Star League Season 2,2.0,PuMa,2nd,HerO,0.0,4.0,20000.0
533,2011-11-28,IGN ProLeague Season 3: Pool C (rematch),2.0,None,1st,HerO,1.0,1.0,1000.0
534,2011-11-26,DreamHack SAPPHIRE AMD Championship,4.0,PuMa,1st,HerO,1.0,3.0,28506.0
535,2014-12-07,IEM Season IX - San Jose,1.0,Rain,3 - 4th,Bomber,0.0,3.0,2000.0
536,2014-10-12,2014 WCS Season 3 America/Premier,4.0,Heart,1st,Bomber,1.0,2.0,25000.0
537,2014-09-21,Red Bull Battle Grounds: Washington,4.0,Cure,1st,Bomber,1.0,0.0,20000.0
538,2014-07-13,Red Bull Battle Grounds: Atlanta,3.0,Polt,1st,Bomber,1.0,1.0,8000.0
539,2014-07-06,2014 WCS Season 2 America/Premier,3.0,Pigbaby,2nd,Bomber,0.0,4.0,15000.0
540,2013-11-09,2013 WCS Global Finals,1.0,sOs,3 - 4th,Bomber,0.0,3.0,17500.0
541,2013-08-25,2013 WCS Season 2,4.0,Jaedong,1st,Bomber,1.0,0.0,40000.0
542,2013-08-01,2013 WCS Season 2 Korea OSL: Premier League,1.0,Rain,3 - 4th,Bomber,0.0,4.0,7000.0
543,2012-12-02,IGN ProLeague Season 5,1.0,Polt,4th,Bomber,0.0,2.0,7000.0
544,2012-11-04,2012 MLG Fall Championship,1.0,Leenock,3 - 4th,Bomber,0.0,4.0,7250.0
545,2012-05-27,Red Bull Battlegrounds: Austin,2.0,MC,2nd,Bomber,0.0,4.0,8000.0
546,2011-08-28,2011 MLG Pro Circuit Raleigh,4.0,CoCa,1st,Bomber,1.0,1.0,5000.0
547,2011-06-20,DreamHack SAPPHIRE AMD Championship,2.0,July,3rd,Bomber,1.0,0.0,3925.0
548,2011-05-06,2011 LG Cinema 3D Global StarCraft II League May: Code A,4.0,Mvp,1st,Bomber,1.0,2.0,1400.0
549,2016-08-14,2016 WCS Circuit: Summer Circuit Championship,1.0,TRUE,2nd,Polt,0.0,4.0,15000.0
550,2016-05-16,2016 WCS Circuit: Spring Circuit Championship,0.0,Nerchio,3 - 4th,Polt,0.0,3.0,10000.0
551,2016-03-05,2016 WCS Circuit: Winter Circuit Championship,4.0,Snute,1st,Polt,1.0,2.0,35000.0
552,2015-06-28,2015 WCS Season 2/Premier,0.0,Hydra,3 - 4th,Polt,0.0,3.0,10000.0
553,2015-04-05,2015 WCS Season 1/Premier,4.0,Hydra,1st,Polt,1.0,3.0,30000.0
554,2014-10-12,2014 WCS Season 3 America/Premier,2.0,Bomber,3 - 4th,Polt,0.0,3.0,7500.0
555,2014-09-21,Red Bull Battle Grounds: Washington,2.0,Trap,3rd,Polt,1.0,1.0,6000.0
556,2014-08-24,Red Bull Battle Grounds: Detroit,3.0,TaeJa,1st,Polt,1.0,0.0,8000.0
557,2014-07-13,Red Bull Battle Grounds: Atlanta,1.0,Bomber,2nd,Polt,0.0,3.0,4000.0
558,2014-06-22,2014 MLG Anaheim,0.0,Trap,2nd,Polt,0.0,2.0,9000.0
559,2014-03-15,IEM Season VIII - World Championship,2.0,herO,3 - 4th,Polt,0.0,3.0,0.0
560,2014-02-16,IEM Season VIII - Cologne,2.0,HerO,2nd,Polt,0.0,4.0,4000.0
561,2013-10-20,2013 WCS Season 3 America/Premier,4.0,ByuL,1st,Polt,1.0,1.0,20000.0
562,2013-08-11,2013 WCS Season 2 America/Premier,4.0,Jaedong,1st,Polt,1.0,0.0,20000.0
563,2013-06-30,2013 MLG Spring Championship,3.0,HyuN,1st,Polt,1.0,2.0,10000.0
564,2012-12-09,North American Star League Season 4,4.0,SortOf,3rd,Polt,1.0,0.0,10000.0
565,2012-12-02,IGN ProLeague Season 5,2.0,viOLet,3rd,Polt,0.0,3.0,11000.0
566,2012-04-22,2012 DreamHack EIZO Open: Stockholm,1.0,ThorZaIN,2nd,Polt,0.0,3.0,5978.0
567,2012-02-25,ASUS ROG Winter 2012,4.0,Stephano,1st,Polt,1.0,1.0,10000.0
568,2011-09-05,2011 Global StarCraft II League August: Code S,1.0,TOP,3 - 4th,Polt,0.0,3.0,4500.0
569,2011-06-18,LG Cinema 3D Super Tournament,4.0,MMA,1st,Polt,1.0,0.0,93000.0
570,2014-08-24,Red Bull Battle Grounds: Detroit,1.0,TaeJa,3 - 4th,StarDust,0.0,3.0,1700.0
571,2014-07-19,2014 DreamHack Open: Valencia,1.0,Sacsri,3 - 4th,StarDust,0.0,2.0,3000.0
572,2014-07-06,2014 WCS Season 2 Europe/Premier,4.0,San,1st,StarDust,1.0,0.0,25000.0
573,2014-02-01,ASUS ROG Winter 2014,0.0,San,3 - 4th,StarDust,0.0,3.0,3000.0
574,2013-07-20,DreamHack Open Valencia 2013,1.0,Jaedong,3 - 4th,StarDust,0.0,2.0,3060.0
575,2013-06-17,DreamHack Open Summer 2013,3.0,Jaedong,1st,StarDust,1.0,2.0,9284.0
576,2014-10-05,2014 WCS Season 3 Europe/Premier,1.0,MMA,3 - 4th,San,0.0,3.0,7500.0
577,2014-07-06,2014 WCS Season 2 Europe/Premier,0.0,StarDust,2nd,San,0.0,4.0,15000.0
578,2014-06-16,2014 DreamHack Open: Summer,1.0,HerO,3 - 4th,San,0.0,2.0,3000.0
579,2014-04-26,2014 GSL Global Championship,0.0,PartinG,3 - 4th,San,0.0,3.0,1850.0
580,2014-04-12,2014 WCS Season 1 Europe/Premier,2.0,MMA,3 - 4th,San,0.0,3.0,7500.0
581,2014-02-01,ASUS ROG Winter 2014,4.0,Dear,1st,San,1.0,0.0,10000.0
582,2013-12-01,IEM Season VIII - Singapore,2.0,herO,2nd,San,0.0,4.0,4000.0
583,2013-08-03,ASUS ROG Summer 2013,1.0,TaeJa,2nd,San,0.0,3.0,5000.0
584,2011-04-05,2011 LG Cinema 3D World Championship Seoul,1.0,Mvp,3 - 4th,San,0.0,3.0,8980.0
585,2011-03-12,2011 2nd Generation Intel® Core™ Global StarCraft II League March: Code S,1.0,MC,3 - 4th,San,0.0,3.0,4450.0
586,2014-08-09,Taiwan eSports League 2014 TWOP,4.0,HyuN,1st,Sen,1.0,3.0,10000.0
587,2012-11-18,2012 Battle.net World Championship,0.0,Rain,4th,Sen,0.0,3.0,8000.0
588,2011-12-04,North American Star League Season 2,4.0,ThorZaIN,3rd,Sen,1.0,2.0,12000.0
589,2011-10-22,BlizzCon 2011 StarCraft II Invitational,0.0,Mvp,3rd,Sen,0.0,2.0,10000.0
590,2011-07-10,North American Star League Season 1,3.0,July,3rd,Sen,1.0,1.0,10000.0
591,2017-04-09,2017 AfreecaTV GSL Super Tournament 1,2.0,herO,2nd,aLive,0.0,4.0,4490.0
592,2017-03-05,IEM Season XI - World Championship,2.0,TY,3 - 4th,aLive,0.0,3.0,18000.0
593,2013-06-02,2013 WCS Season 1 America/Premier,1.0,Revival,3 - 4th,aLive,0.0,3.0,7000.0
594,2012-05-05,Iron Squid – Chapter I,2.0,NesTea,4th,aLive,0.0,3.0,2500.0
595,2012-04-08,IGN ProLeague Season 4,5.0,Squirtle,1st,aLive,1.0,3.0,40000.0
596,2012-02-23,2012 Global StarCraft II League Season 1: Code S,0.0,Genius,3 - 4th,aLive,0.0,3.0,4483.0
597,2011-10-06,IGN ProLeague Season 3: Pool A,3.0,None,1st,aLive,1.0,0.0,1000.0
598,2014-07-20,IEM Season IX - Shenzhen,0.0,Solar,3 - 4th,Jim,0.0,3.0,2000.0
599,2013-12-01,World Cyber Games 2013,1.0,PartinG,4th,Jim,0.0,3.0,0.0
600,2012-12-02,World Cyber Games 2012,0.0,PartinG,2nd,Adelscott,0.0,2.0,10000.0
601,2011-02-12,Assembly Tournament: Steelseries Challenge,3.0,Socke,3rd,Adelscott,1.0,2.0,676.0
602,2018-09-09,2018 WCS Montreal,3.0,Serral,2nd,Reynor,0.0,4.0,10000.0
603,2018-07-14,2018 WCS Valencia,1.0,Serral,2nd,Has,0.0,4.0,10000.0
604,2014-08-09,Taiwan eSports League 2014 TWOP,3.0,Ian,3rd,Has,1.0,0.0,3300.0
605,2018-06-03,2018 WCS Austin,2.0,Serral,2nd,MaNa,0.0,4.0,10000.0
606,2015-09-13,2015 WCS Season 3/Premier,2.0,Lilbow,2nd,MaNa,0.0,4.0,15000.0
607,2012-11-03,Electronic Sports World Cup 2012,2.0,ForGG,1st,MaNa,1.0,0.0,20000.0
608,2012-10-21,DreamHack EIZO Open: Bucharest,1.0,Bly,3rd,MaNa,0.0,2.0,3040.0
609,2012-06-18,DreamHack EIZO Open: Summer,3.0,DIMAGA,1st,MaNa,1.0,1.0,14240.0
610,2011-10-23,Electronic Sports World Cup 2011,1.0,Stephano,2nd,MaNa,0.0,3.0,12000.0
611,2011-08-21,IEM Season VI - Global Challenge Cologne,3.0,Socke,3rd,MaNa,1.0,2.0,1750.0
612,2011-08-13,"IGN ProLeague Season 2 ""Across the Atlantic""",2.0,Nerchio,3rd,MaNa,0.0,3.0,6000.0
613,2011-08-05,ASUS ROG Summer 2011,2.0,DIMAGA,2nd,MaNa,0.0,3.0,5713.0
614,2010-11-27,DreamHack SteelSeries LAN,2.0,Naama,2nd,MaNa,0.0,3.0,4290.0
615,2018-07-14,2018 WCS Valencia,2.0,Has,3 - 4th,ShoWTimE,0.0,3.0,6500.0
616,2018-01-28,2018 WCS Leipzig,2.0,Serral,2nd,ShoWTimE,0.0,4.0,10000.0
617,2017-01-15,World Electronic Sports Games 2016,1.0,Neeb,4th,ShoWTimE,0.0,3.0,20000.0
618,2016-09-11,WCS Copa Intercontinental,2.0,Snute,2nd,ShoWTimE,0.0,4.0,10000.0
619,2016-07-30,IEM Season XI - Shanghai,0.0,Neeb,3 - 4th,ShoWTimE,0.0,3.0,5000.0
620,2016-05-16,2016 WCS Circuit: Spring Circuit Championship,4.0,Nerchio,1st,ShoWTimE,1.0,3.0,35000.0
621,2015-11-28,DreamHack ROCCAT LotV Championship,1.0,PartinG,4th,ShoWTimE,0.0,3.0,3000.0
622,2015-04-05,2015 WCS Season 1/Premier,0.0,Hydra,3 - 4th,ShoWTimE,0.0,3.0,10000.0
623,2012-07-27,2012 Global StarCraft II League Season 3: Code S,4.0,MC,1st,Seed,1.0,1.0,43928.0
624,2014-11-16,HomeStory Cup X,0.0,PartinG,3 - 4th,Losira,0.0,3.0,2500.0
625,2011-07-30,2011 Global StarCraft II League July: Code S,0.0,NesTea,2nd,Losira,0.0,4.0,18500.0
626,2011-06-05,2011 MLG Pro Circuit Columbus,1.0,MMA,2nd,Losira,0.0,4.0,3000.0
627,2011-03-11,2011 2nd Generation Intel® Core™ Global StarCraft II League March: Code A,4.0,SuperNova,1st,Losira,1.0,3.0,1330.0
628,2011-09-10,2011 Global StarCraft II League August: Code S,1.0,Mvp,2nd,TOP,0.0,4.0,18500.0
629,2011-06-13,LG Cinema 3D Super Tournament,2.0,Polt,3 - 4th,TOP,0.0,3.0,9300.0
630,2011-01-21,2011 Sony Ericsson Global StarCraft II League January: Code A,4.0,ByuN,1st,TOP,1.0,3.0,1345.0
631,2010-11-27,DreamHack SteelSeries LAN,1.0,Fenix,4th,TOP,0.0,3.0,0.0
632,2017-04-30,2017 WCS Austin,2.0,Neeb,2nd,Nerchio,0.0,4.0,10000.0
633,2016-07-16,2016 DreamHack Open: Valencia,4.0,MarineLorD,1st,Nerchio,1.0,0.0,16000.0
634,2016-06-26,HomeStory Cup XIII,2.0,Scarlett,3 - 4th,Nerchio,0.0,3.0,2000.0
635,2016-05-16,2016 WCS Circuit: Spring Circuit Championship,3.0,ShoWTimE,2nd,Nerchio,0.0,4.0,15000.0
636,2016-03-05,2016 WCS Circuit: Winter Circuit Championship,0.0,Polt,3 - 4th,Nerchio,0.0,3.0,10000.0
637,2012-11-24,DreamHack EIZO Open: Winter,0.0,TaeJa,3 - 4th,Nerchio,0.0,3.0,7545.0
638,2012-10-21,DreamHack EIZO Open: Bucharest,3.0,Bly,1st,Nerchio,1.0,0.0,10642.0
639,2012-08-19,IEM Season VII - Cologne,1.0,Mvp,2nd,Nerchio,0.0,3.0,3300.0
640,2012-07-08,HomeStory Cup V,4.0,YongHwa,1st,Nerchio,1.0,1.0,10000.0
641,2011-08-14,"IGN ProLeague Season 2 ""Across the Atlantic""",1.0,White-Ra,2nd,Nerchio,0.0,3.0,10000.0
642,2016-09-11,WCS Copa Intercontinental,0.0,Neeb,4th,uThermal,0.0,3.0,4000.0
643,2016-07-31,IEM Season XI - Shanghai,4.0,Neeb,1st,uThermal,1.0,2.0,16000.0
644,2016-01-23,2016 DreamHack Open: Leipzig,2.0,PtitDrogo,3 - 4th,uThermal,0.0,3.0,5000.0
645,2016-05-08,2016 DreamHack Open: Austin,4.0,Neeb,1st,Hydra,1.0,2.0,16000.0
646,2016-03-05,2016 WCS Circuit: Winter Circuit Championship,1.0,Snute,3 - 4th,Hydra,0.0,3.0,10000.0
647,2015-06-28,2015 WCS Season 2/Premier,4.0,Lilbow,1st,Hydra,1.0,2.0,30000.0
648,2015-04-05,2015 WCS Season 1/Premier,3.0,Polt,2nd,Hydra,0.0,4.0,15000.0
649,2013-12-01,IEM Season VIII - Singapore,0.0,San,3 - 4th,Hydra,0.0,3.0,2000.0
650,2013-01-26,Iron Squid – Chapter II,3.0,MarineKing,3rd,NesTea,1.0,0.0,3750.0
651,2012-05-05,Iron Squid – Chapter I,3.0,aLive,3rd,NesTea,1.0,2.0,3750.0
652,2012-04-08,IGN ProLeague Season 4,2.0,Squirtle,3rd,NesTea,0.0,3.0,7000.0
653,2011-10-22,BlizzCon 2011 StarCraft II Invitational,0.0,Mvp,2nd,NesTea,0.0,2.0,25000.0
654,2011-07-30,2011 Global StarCraft II League July: Code S,4.0,LosirA,1st,NesTea,1.0,0.0,46000.0
655,2011-05-14,2011 LG Cinema 3D Global StarCraft II League May: Code S,4.0,InCa,1st,NesTea,1.0,0.0,46000.0
656,2011-01-23,2011 Sony Ericsson Global StarCraft II League January: Code S,1.0,Mvp,3 - 4th,NesTea,0.0,3.0,4483.0
657,2010-11-13,2010 Sony Ericsson StarCraft II Open Season 2,4.0,MarineKing,1st,NesTea,1.0,3.0,89000.0
658,2014-04-12,2014 WCS Season 1 America/Premier,0.0,HyuN,3 - 4th,Alicia,0.0,3.0,7500.0
659,2013-08-03,ASUS ROG Summer 2013,2.0,TaeJa,3 - 4th,Alicia,0.0,3.0,3000.0
660,2012-07-22,2012 MLG Summer Arena,2.0,TaeJa,2nd,Alicia,0.0,4.0,6000.0
661,2012-07-15,North American Star League Season 3,0.0,Stephano,2nd,Alicia,0.0,4.0,15000.0
662,2012-06-10,2012 MLG Spring Championship,1.0,DongRaeGu,2nd,Alicia,0.0,3.0,15000.0
663,2011-03-09,2011 2nd Generation Intel® Core™ Global StarCraft II League March: Code A,0.0,SuperNova,3 - 4th,Alicia,0.0,2.0,710.0
664,2013-08-11,2013 WCS Season 2 Europe/Premier,2.0,duckdeok,3 - 4th,Grubby,0.0,3.0,7000.0
665,2012-11-25,IEM Season VII - Singapore,2.0,Sting,2nd,Grubby,0.0,3.0,3300.0
666,2011-10-23,Electronic Sports World Cup 2011,1.0,MarineKing,4th,Grubby,0.0,3.0,4000.0
667,2011-10-14,2011 Global StarCraft II League October: Code S,1.0,Mvp,3 - 4th,GanZi,0.0,3.0,4358.0
668,2011-08-29,2011 Global StarCraft II League August: Code A,4.0,MarineKing,1st,GanZi,1.0,3.0,1400.0
669,2011-07-31,2011 MLG Pro Circuit Anaheim,1.0,MMA,4th,GanZi,0.0,2.0,1400.0
670,2013-10-06,2013 WCS Season 3 Europe/Premier,0.0,MC,3 - 4th,Genius,0.0,3.0,7000.0
671,2012-03-03,2012 Global StarCraft II League Season 1: Code S,2.0,DongRaeGu,2nd,Genius,0.0,4.0,17934.0
672,2010-10-23,BlizzCon 2010 StarCraft II Invitational,4.0,Loner,1st,Genius,1.0,0.0,25000.0
673,2011-10-16,IEM Season VI - Global Challenge New York,2.0,DongRaeGu,2nd,FruitDealer,0.0,3.0,3300.0
674,2010-12-06,2010 Sony Ericsson StarCraft II Open Season 3,2.0,HongUn,5 - 8th,FruitDealer,0.0,3.0,3468.0
675,2010-10-02,2010 TG Sambo Intel StarCraft II Open Season 1,4.0,RainBOw,1st,FruitDealer,1.0,1.0,85700.0
676,2011-08-28,2011 MLG Pro Circuit Raleigh,1.0,Bomber,2nd,CoCa,0.0,4.0,3000.0
677,2017-09-10,2017 WCS Montreal,0.0,Neeb,3 - 4th,TRUE,0.0,3.0,6500.0
678,2017-07-15,2017 WCS Valencia,1.0,Elazer,3 - 4th,TRUE,0.0,3.0,6500.0
679,2017-04-30,2017 WCS Austin,1.0,Nerchio,3 - 4th,TRUE,0.0,3.0,6500.0
680,2016-08-14,2016 WCS Circuit: Summer Circuit Championship,4.0,Polt,1st,TRUE,1.0,1.0,35000.0
681,2015-07-17,2015 DreamHack Open: Valencia,0.0,Curious,2nd,TRUE,0.0,3.0,5000.0
